Price_per_GB,Price_per_TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML,,,,
$0.02 ,$22.90 ,$366 ,16 TB,,"External 3.5""",HDD,Used,"LaCie d2 Professional 16TB, External Hard Drive, Black (STHA16000800)","<a href=""https://www.amazon.com/dp/B08CHM7PJZ"">LaCie d2 Professional 16TB, External Hard Drive, Black (STHA16000800)</a>","<a href=""https://www.amazon.com/dp/B08CHM7PJZ"">LaCie d2 Professional 16TB, External Hard Drive, Black (STHA16000800)</a>",,,
$0.02 ,$23.00 ,$46 ,2 TB,3 months,"Internal 3.5""",HDD,Used,"WD Blue 2TB PC Hard Drive - 5400 RPM Class, SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD20EZAZ (Renewed)","<a href=""https://www.amazon.com/dp/B07X8XKV6X"">WD Blue 2TB PC Hard Drive - 5400 RPM Class, SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD20EZAZ (Renewed)</a>",,,,
$0.02 ,$23.00 ,$184 ,8 TB,3 years,"Internal 3.5""",HDD,Used,"Western Digital 8TB WD Purple Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD85PURZ","<a href=""https://www.amazon.com/dp/B0CP314RM7"">Western Digital 8TB WD Purple Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD85PURZ</a>","<a href=""https://www.amazon.com/dp/B0CP314RM7"">Western Digital 8TB WD Purple Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD85PURZ</a>",,,
$0.02 ,$23.05 ,$184 ,8 TB,,Internal,SAS,New,"HGST Ultrastar He8 HUH728080AL5204 8 TB 3.5"" Internal Hard Drive","<a href=""https://www.amazon.com/dp/B00T76CAMY"">HGST Ultrastar He8 HUH728080AL5204 8 TB 3.5"" Internal Hard Drive</a>","<a href=""https://www.amazon.com/dp/B00T76CAMY"">HGST Ultrastar He8 HUH728080AL5204 8 TB 3.5"" Internal Hard Drive</a>",,,
$0.02 ,$23.06 ,$184 ,8 TB,5 years,"Internal 3.5""",HDD,New,Seagate 8TB 7200 RPM HDD,"<a href=""https://www.amazon.com/dp/B07SW1BH6Q"">Seagate 8TB 7200 RPM HDD</a>","<a href=""https://www.amazon.com/dp/B07SW1BH6Q"">Seagate 8TB 7200 RPM HDD</a>",,,
$0.02 ,$23.07 ,$185 ,8 TB,5 years,"Internal 3.5""",HDD,Used,"Western Digital 8TB WD Gold Enterprise Class Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD8004FRYZ","<a href=""https://www.amazon.com/dp/B07XGDNZXT"">Western Digital 8TB WD Gold Enterprise Class Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD8004FRYZ</a>","<a href=""https://www.amazon.com/dp/B07XGDNZXT"">Western Digital 8TB WD Gold Enterprise Class Internal Hard Drive - 7200 RPM Class, SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD8004FRYZ</a>",,,
$0.02 ,$23.12 ,$370 ,16 TB,1 year,"External 3.5""",HDD,New,Seagate Expansion Desktop 16TB External Hard Drive HDD - USB 3.0 for PC Laptop (STEB16000400),"<a href=""https://www.amazon.com/dp/B088PBNDFH"">Seagate Expansion Desktop 16TB External Hard Drive HDD - USB 3.0 for PC Laptop (STEB16000400)</a>",,,,
$0.02 ,$23.12 ,$185 ,8 TB,1 year,"External 3.5""",HDD,Used,Seagate (STEB8000100) Expansion Desktop 8TB External Hard Drive HDD – USB 3.0 for PC Laptop,"<a href=""https://www.amazon.com/dp/B01HAPGEIE"">Seagate (STEB8000100) Expansion Desktop 8TB External Hard Drive HDD – USB 3.0 for PC Laptop</a>","<a href=""https://www.amazon.com/dp/B01HAPGEIE"">Seagate (STEB8000100) Expansion Desktop 8TB External Hard Drive HDD – USB 3.0 for PC Laptop</a>",,,
$0.02 ,$23.12 ,$185 ,8 TB,3 years,"Internal 3.5""",HDD,New,Seagate SkyHawk 8TB Surveillance Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 256MB Cache for DVR NVR Security Camera System with Drive Health Management (ST8000VX0022),"<a href=""https://www.amazon.com/dp/B01LXF9W9C"">Seagate SkyHawk 8TB Surveillance Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 256MB Cache for DVR NVR Security Camera System with Drive Health Management (ST8000VX0022)</a>","<a href=""https://www.amazon.com/dp/B01LXF9W9C"">Seagate SkyHawk 8TB Surveillance Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 256MB Cache for DVR NVR Security Camera System with Drive Health Management (ST8000VX0022)</a>",,,
$0.02 ,$23.16 ,$29 ,25 GB x50,,Optical,BD-R,New,"PlexDisc 633-814 25 GB 6X Blu-ray Logo Top Single Layer Recordable Disc BD-R, 50-Disc Spindle","<a href=""https://www.amazon.com/dp/B00IK46BJC"">PlexDisc 633-814 25 GB 6X Blu-ray Logo Top Single Layer Recordable Disc BD-R, 50-Disc Spindle</a>",,,,
$0.02 ,$23.16 ,$139 ,6 TB,3 years,"Internal 3.5""",HDD,New,"Western Digital 6TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5"" -WD60EFPX","<a href=""https://www.amazon.com/dp/B0BDXQ61Z9"">Western Digital 6TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5"" -WD60EFPX</a>","<a href=""https://www.amazon.com/dp/B0BDXQ61Z9"">Western Digital 6TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5"" -WD60EFPX</a>",,,
$0.02 ,$23.21 ,$371 ,800 GB x20,,Tape,LTO-4,New,TDK lto-4 ultrium 800gb/1.6tb tape cartridge labeled library pack 20-pk,"<a href=""https://www.amazon.com/dp/B00BKEWPCG"">TDK lto-4 ultrium 800gb/1.6tb tape cartridge labeled library pack 20-pk</a>",,,,
$0.02 ,$23.25 ,$279 ,12 TB,3 years,"Internal 3.5""",HDD,New,"Synology HAT3310 12TB Plus Series SATA HDD 3.5"" (HAT3310-12T)","<a href=""https://www.amazon.com/dp/B0CS3Y7ZMH"">Synology HAT3310 12TB Plus Series SATA HDD 3.5"" (HAT3310-12T)</a>","<a href=""https://www.amazon.com/dp/B0CS3Y7ZMH"">Synology HAT3310 12TB Plus Series SATA HDD 3.5"" (HAT3310-12T)</a>",,,
$0.02 ,$23.33 ,$21 ,900 GB,,Internal,SAS,Used,"Seagate Savvio ST900MM0006 900GB 10K RPM 64MB 2.5"" SAS-6Gb/s HDD","<a href=""https://www.amazon.com/dp/B00C9TEPHE"">Seagate Savvio ST900MM0006 900GB 10K RPM 64MB 2.5"" SAS-6Gb/s HDD</a>","<a href=""https://www.amazon.com/dp/B00C9TEPHE"">Seagate Savvio ST900MM0006 900GB 10K RPM 64MB 2.5"" SAS-6Gb/s HDD</a>",,,
$0.02 ,$23.33 ,$70 ,3 TB,,"Internal 3.5""",HDD,Used,WESTERN DIGITAL WD30EFRX RED 3TB IntelliPower 64MB cache SATA 6.0Gb/s 3.5 internal hard drive,"<a href=""https://www.amazon.com/dp/B008SDJVUG"">WESTERN DIGITAL WD30EFRX RED 3TB IntelliPower 64MB cache SATA 6.0Gb/s 3.5 internal hard drive</a>","<a href=""https://www.amazon.com/dp/B008SDJVUG"">WESTERN DIGITAL WD30EFRX RED 3TB IntelliPower 64MB cache SATA 6.0Gb/s 3.5 internal hard drive</a>",,,
$0.02 ,$23.33 ,$70 ,3 TB,,Internal,SAS,New,"HGST Ultrastar HUS723030ALS640 3TB 7200RPM SAS 6Gbps 3.5"" 64MB Cache Enterprise Internal Bare or OEM Hard Disk Drives","<a href=""https://www.amazon.com/dp/B0082D58L8"">HGST Ultrastar HUS723030ALS640 3TB 7200RPM SAS 6Gbps 3.5"" 64MB Cache Enterprise Internal Bare or OEM Hard Disk Drives</a>","<a href=""https://www.amazon.com/dp/B0082D58L8"">HGST Ultrastar HUS723030ALS640 3TB 7200RPM SAS 6Gbps 3.5"" 64MB Cache Enterprise Internal Bare or OEM Hard Disk Drives</a>",,,
$0.02 ,$23.38 ,$19 ,800 GB,,Tape,LTO-4,New,TANDBERG DATA LTO Ultrium 4 Storage Media Tape Cartridge (433781),"<a href=""https://www.amazon.com/dp/B000QEITB2"">TANDBERG DATA LTO Ultrium 4 Storage Media Tape Cartridge (433781)</a>",,,,
$0.02 ,$23.49 ,$29 ,25 GB x50,,Optical,BD-R,New,50 Hi-Disc Bluray 25GB BD-R Single Layer 4x Speed No Logo Fully Printable Factory Sealed in Spindle,"<a href=""https://www.amazon.com/dp/B00TL58XW2"">50 Hi-Disc Bluray 25GB BD-R Single Layer 4x Speed No Logo Fully Printable Factory Sealed in Spindle</a>",,,,
$0.02 ,$23.50 ,$94 ,4 TB,2 years,"External 3.5""",HDD,Used,Avolusion PRO-T8 Series 4TB USB 3.0 External Gaming Hard Drive for PS5 Game Console (Black) - 2 Year Warranty (Renewed),"<a href=""https://www.amazon.com/dp/B0CWNJ7W12"">Avolusion PRO-T8 Series 4TB USB 3.0 External Gaming Hard Drive for PS5 Game Console (Black) - 2 Year Warranty (Renewed)</a>",,,,
$0.02 ,$23.50 ,$141 ,6 TB,3 years,"Internal 3.5""",HDD,Used,"Western Digital 6TB WD Red NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, SMR, 256MB Cache, 3.5"" - WD60EFAX","<a href=""https://www.amazon.com/dp/B07MYL7KVK"">Western Digital 6TB WD Red NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, SMR, 256MB Cache, 3.5"" - WD60EFAX</a>","<a href=""https://www.amazon.com/dp/B07MYL7KVK"">Western Digital 6TB WD Red NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, SMR, 256MB Cache, 3.5"" - WD60EFAX</a>",,,
$0.02 ,$23.50 ,$47 ,2 TB,,"Internal 3.5""",HDD,Used,Western Digital WD20EFRX 2TB 3.5-inch SATA 6Gb/s 64MB Cache Hard Drive,"<a href=""https://www.amazon.com/dp/B00QJA931C"">Western Digital WD20EFRX 2TB 3.5-inch SATA 6Gb/s 64MB Cache Hard Drive</a>","<a href=""https://www.amazon.com/dp/B00QJA931C"">Western Digital WD20EFRX 2TB 3.5-inch SATA 6Gb/s 64MB Cache Hard Drive</a>",,,
$0.02 ,$23.50 ,$141 ,6 TB,3 years,Internal,SAS,Used,"Seagate Enterprise Capacity 6TB | SAS Interface for Servers | ST6000NM0285 | 7.2K 12Gb/s 256MB Cache 3.5"" 512e | Secure SED-FIPS Model | Enterprise Internal Hard Drive HDD w/ 3 Year Warranty","<a href=""https://www.amazon.com/dp/B01MSTOSMM"">Seagate Enterprise Capacity 6TB | SAS Interface for Servers | ST6000NM0285 | 7.2K 12Gb/s 256MB Cache 3.5"" 512e | Secure SED-FIPS Model | Enterprise Internal Hard Drive HDD w/ 3 Year Warranty</a>","<a href=""https://www.amazon.com/dp/B01MSTOSMM"">Seagate Enterprise Capacity 6TB | SAS Interface for Servers | ST6000NM0285 | 7.2K 12Gb/s 256MB Cache 3.5"" 512e | Secure SED-FIPS Model | Enterprise Internal Hard Drive HDD w/ 3 Year Warranty</a>",,,
$0.02 ,$23.58 ,$519 ,22 TB,,Internal,SAS,New,HGST Ultrastar DC HC570 0F48052 22 TB Hard Drive - 3.5 Internal - SAS [12Gb/s SAS],"<a href=""https://www.amazon.com/dp/B0BWSYJZ29"">HGST Ultrastar DC HC570 0F48052 22 TB Hard Drive - 3.5 Internal - SAS [12Gb/s SAS]</a>","<a href=""https://www.amazon.com/dp/B0BWSYJZ29"">HGST Ultrastar DC HC570 0F48052 22 TB Hard Drive - 3.5 Internal - SAS [12Gb/s SAS]</a>",,,
$0.02 ,$23.61 ,$19 ,800 GB,,Tape,LTO-4,New,"Imation Cartridge,LTO,ULTRIUM GEN4","<a href=""https://www.amazon.com/dp/B00VSJQ1PU"">Imation Cartridge,LTO,ULTRIUM GEN4</a>",,,,
$0.02 ,$23.66 ,$142 ,6 TB,3 years,"Internal 3.5""",HDD,New,Seagate SkyHawk 6TB Surveillance Internal Hard Drive HDD – 3.5 Inch SATA 6GB/s 256MB Cache for DVR NVR Security Camera System with Drive Health Management – Frustration Free Packaging (ST6000VX001),"<a href=""https://www.amazon.com/dp/B07H28M89D"">Seagate SkyHawk 6TB Surveillance Internal Hard Drive HDD – 3.5 Inch SATA 6GB/s 256MB Cache for DVR NVR Security Camera System with Drive Health Management – Frustration Free Packaging (ST6000VX001)</a>","<a href=""https://www.amazon.com/dp/B07H28M89D"">Seagate SkyHawk 6TB Surveillance Internal Hard Drive HDD – 3.5 Inch SATA 6GB/s 256MB Cache for DVR NVR Security Camera System with Drive Health Management – Frustration Free Packaging (ST6000VX001)</a>",,,
$0.02 ,$23.72 ,$9 ,400 GB,,Tape,LTO-3,Used,Quantum LTO Ultrium 3 Tape Cartridge,"<a href=""https://www.amazon.com/dp/B0038L1GOW"">Quantum LTO Ultrium 3 Tape Cartridge</a>","<a href=""https://www.amazon.com/dp/B0038L1GOW"">Quantum LTO Ultrium 3 Tape Cartridge</a>",,,
$0.02 ,$23.73 ,$522 ,22 TB,3 years,"External 3.5""",HDD,New,"SanDisk Professional 22TB G-Drive Enterprise-Class External Desktop Hard Drive - 7200RPM Ultrastar HDD Inside, USB-C (10Gbps), USB 3.2 Gen 2, Mac Ready - SDPHF1A-022T-NBAAD, Dark Grey","<a href=""https://www.amazon.com/dp/B0BB8TMWV7"">SanDisk Professional 22TB G-Drive Enterprise-Class External Desktop Hard Drive - 7200RPM Ultrastar HDD Inside, USB-C (10Gbps), USB 3.2 Gen 2, Mac Ready - SDPHF1A-022T-NBAAD, Dark Grey</a>","<a href=""https://www.amazon.com/dp/B0BB8TMWV7"">SanDisk Professional 22TB G-Drive Enterprise-Class External Desktop Hard Drive - 7200RPM Ultrastar HDD Inside, USB-C (10Gbps), USB 3.2 Gen 2, Mac Ready - SDPHF1A-022T-NBAAD, Dark Grey</a>",,,
$0.02 ,$23.74 ,$95 ,4 TB,3 months,"External 3.5""",HDD,Used,WD 4TB Elements Portable External Hard Drive - USB 3.0 - WDBU6Y0040BBK-WESN (Renewed),"<a href=""https://www.amazon.com/dp/B07QSTTS5B"">WD 4TB Elements Portable External Hard Drive - USB 3.0 - WDBU6Y0040BBK-WESN (Renewed)</a>",,,,
$0.02 ,$23.75 ,$95 ,4 TB,,"External 3.5""",HDD,Used,Seagate Game Drive 4TB External Hard Drive Portable HDD - Compatible With PS4 (STGD4000400) blue,"<a href=""https://www.amazon.com/dp/B076826S5R"">Seagate Game Drive 4TB External Hard Drive Portable HDD - Compatible With PS4 (STGD4000400) blue</a>","<a href=""https://www.amazon.com/dp/B076826S5R"">Seagate Game Drive 4TB External Hard Drive Portable HDD - Compatible With PS4 (STGD4000400) blue</a>",,,
$0.02 ,$23.75 ,$95 ,4 TB,,"Internal 3.5""",HDD,New,"Seagate 4TB HDD 5.9K RPM 3.5"" 6Gb/s SATA Hard Disk Drive Model: ST4000DM000 DP/N: VF3T3","<a href=""https://www.amazon.com/dp/B07XL6WHMM"">Seagate 4TB HDD 5.9K RPM 3.5"" 6Gb/s SATA Hard Disk Drive Model: ST4000DM000 DP/N: VF3T3</a>","<a href=""https://www.amazon.com/dp/B07XL6WHMM"">Seagate 4TB HDD 5.9K RPM 3.5"" 6Gb/s SATA Hard Disk Drive Model: ST4000DM000 DP/N: VF3T3</a>",,,
$0.02 ,$23.75 ,$190 ,800 GB x10,,Tape,LTO-4,New,10 Pack Sony LTX800G LTO Ultrium-4 Data Tape (800/1.6TB),"<a href=""https://www.amazon.com/dp/B003LMG1H0"">10 Pack Sony LTX800G LTO Ultrium-4 Data Tape (800/1.6TB)</a>",,,,
$0.02 ,$23.75 ,$95 ,4 TB,2 years,"External 3.5""",HDD,Used,"Western Digital 4TB Elements Desktop External Hard Drive, USB 3.0 for plug-and-play storage - Western DigitalBWLG0040HBK-NESN","<a href=""https://www.amazon.com/dp/B00ODEGWN8"">Western Digital 4TB Elements Desktop External Hard Drive, USB 3.0 for plug-and-play storage - Western DigitalBWLG0040HBK-NESN</a>","<a href=""https://www.amazon.com/dp/B00ODEGWN8"">Western Digital 4TB Elements Desktop External Hard Drive, USB 3.0 for plug-and-play storage - Western DigitalBWLG0040HBK-NESN</a>",,,
$0.02 ,$23.75 ,$285 ,12 TB,3 months,Internal,SAS,Used,HGST Ultrastar DC HC520 HDD 12TB 7200 RPM SAS 12Gb/s Interface 3.5-Inch 512e ISE Helium Data Center Enterprise Internal Hard Disk Drive HUH721212AL5200 (0F29530) (Renewed),"<a href=""https://www.amazon.com/dp/B07SXVQ5WD"">HGST Ultrastar DC HC520 HDD 12TB 7200 RPM SAS 12Gb/s Interface 3.5-Inch 512e ISE Helium Data Center Enterprise Internal Hard Disk Drive HUH721212AL5200 (0F29530) (Renewed)</a>",,,,
$0.02 ,$23.75 ,$95 ,4 TB,3 months,Internal,SAS,New,"Lenovo Enterprise ST4000NM0025 01CX795 01CX814 01GT910 4TB 7.2K SAS 12Gb/s 3.5"" Hard Disk Drive w/Tray","<a href=""https://www.amazon.com/dp/B0BW4Y3SFH"">Lenovo Enterprise ST4000NM0025 01CX795 01CX814 01GT910 4TB 7.2K SAS 12Gb/s 3.5"" Hard Disk Drive w/Tray</a>",,,,
$0.02 ,$23.76 ,$238 ,10 TB,5 years,"Internal 3.5""",HDD,Used,"Western Digital 10TB WD Purple Pro Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD101PURP","<a href=""https://www.amazon.com/dp/B0966TZJGJ"">Western Digital 10TB WD Purple Pro Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD101PURP</a>","<a href=""https://www.amazon.com/dp/B0966TZJGJ"">Western Digital 10TB WD Purple Pro Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD101PURP</a>",,,
$0.02 ,$23.78 ,$119 ,5 TB,3 years,"External 3.5""",HDD,New,"Western Digital 5TB My Passport Portable External Hard Drive with password protection and auto backup software, White - Western DigitalBPKJ0050BWT-WESN","<a href=""https://www.amazon.com/dp/B088P3KZZ9"">Western Digital 5TB My Passport Portable External Hard Drive with password protection and auto backup software, White - Western DigitalBPKJ0050BWT-WESN</a>",,,,
$0.02 ,$23.88 ,$29 ,1.2 TB,,Internal,SAS,Used,"HGST Ultrastar HUC101212CSS600 0B25168 1.2TB 10K RPM SAS 6Gb/s 2.5"" SFF 64MB Cache Internal Enterprise HDD","<a href=""https://www.amazon.com/dp/B00B96LSDW"">HGST Ultrastar HUC101212CSS600 0B25168 1.2TB 10K RPM SAS 6Gb/s 2.5"" SFF 64MB Cache Internal Enterprise HDD</a>","<a href=""https://www.amazon.com/dp/B00B96LSDW"">HGST Ultrastar HUC101212CSS600 0B25168 1.2TB 10K RPM SAS 6Gb/s 2.5"" SFF 64MB Cache Internal Enterprise HDD</a>",,,
$0.02 ,$23.90 ,$191 ,8 TB,5 years,"Internal 3.5""",HDD,Used,"Western Digital 8TB WD Red Pro NAS Internal Hard Drive HDD - 7200 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5"" - WD8005FFBX","<a href=""https://www.amazon.com/dp/B0D1V2K4LJ"">Western Digital 8TB WD Red Pro NAS Internal Hard Drive HDD - 7200 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5"" - WD8005FFBX</a>","<a href=""https://www.amazon.com/dp/B0D1V2K4LJ"">Western Digital 8TB WD Red Pro NAS Internal Hard Drive HDD - 7200 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5"" - WD8005FFBX</a>",,,
$0.02 ,$23.92 ,$30 ,25 GB x50,,Optical,BD-R,New,Ridata Ritek Blu-Ray (BD-R) White Inkjet Hub Printable 4X BD-R Media 25GB 50 Pack in Cake Box (BDR-254-RDIWN-CB50),"<a href=""https://www.amazon.com/dp/B00AYX7VRS"">Ridata Ritek Blu-Ray (BD-R) White Inkjet Hub Printable 4X BD-R Media 25GB 50 Pack in Cake Box (BDR-254-RDIWN-CB50)</a>",,,,
$0.02 ,$23.93 ,$191 ,8 TB,,Internal,SAS,New,"HGST Ultrastar He8 HUH728080AL5200 | 0F23268 | 8TB 7.2K RPM 128MB Cache SAS 12Gb/s 512E 3.5"" Helium Platform Enterprise Hard Drive Bare Drive","<a href=""https://www.amazon.com/dp/B00VO841AC"">HGST Ultrastar He8 HUH728080AL5200 | 0F23268 | 8TB 7.2K RPM 128MB Cache SAS 12Gb/s 512E 3.5"" Helium Platform Enterprise Hard Drive Bare Drive</a>","<a href=""https://www.amazon.com/dp/B00UOGW4AO"">HGST Ultrastar He8 HUH728080AL5200 | 0F23268 | 8TB 7.2K RPM 128MB Cache SAS 12Gb/s 512E 3.5"" Helium Platform Enterprise Hard Drive Bare Drive</a>","<a href=""https://www.amazon.com/dp/B00VO841AC"">HGST Ultrastar He8 HUH728080AL5200 | 0F23268 | 8TB 7.2K RPM 128MB Cache SAS 12Gb/s 512E 3.5"" Helium Platform Enterprise Hard Drive Bare Drive</a>","<a href=""https://www.amazon.com/dp/B00UOGW4AO"">HGST Ultrastar He8 HUH728080AL5200 | 0F23268 | 8TB 7.2K RPM 128MB Cache SAS 12Gb/s 512E 3.5"" Helium Platform Enterprise Hard Drive Bare Drive</a>",
$0.02 ,$23.93 ,$191 ,8 TB,3 years,"External 3.5""",HDD,New,"Seagate Game Drive Hub, 8 TB, External Hard Drive Desktop HDD - USB 3.2 Gen 1, Dual USB-C and USB-A Ports, Xbox Certified, with Xbox Green LED Lighting and 3 Year Rescue Services (STKW8000402)","<a href=""https://www.amazon.com/dp/B093WXL429"">Seagate Game Drive Hub, 8 TB, External Hard Drive Desktop HDD - USB 3.2 Gen 1, Dual USB-C and USB-A Ports, Xbox Certified, with Xbox Green LED Lighting and 3 Year Rescue Services (STKW8000402)</a>","<a href=""https://www.amazon.com/dp/B093WXL429"">Seagate Game Drive Hub, 8 TB, External Hard Drive Desktop HDD - USB 3.2 Gen 1, Dual USB-C and USB-A Ports, Xbox Certified, with Xbox Green LED Lighting and 3 Year Rescue Services (STKW8000402)</a>",,,
$0.02 ,$23.96 ,$30 ,25 GB x50,,Optical,BD-R,New,"Optical Quantum OQBDR06WIP-H-50 6X 25 GB BD-R White Inkjet Printable Single Layer Blu-Ray Recordable Blank Media, 50-Disc Spindle","<a href=""https://www.amazon.com/dp/B00AXYQGKG"">Optical Quantum OQBDR06WIP-H-50 6X 25 GB BD-R White Inkjet Printable Single Layer Blu-Ray Recordable Blank Media, 50-Disc Spindle</a>",,,,
$0.02 ,$23.96 ,$30 ,25 GB x50,,Optical,BD-R,New,"Optical Quantum OQBDR06LT-50 6X 25 GB BD-R Single Layer Blu-Ray Recordable Blank Media Logo Top, 50-Disc Spindle","<a href=""https://www.amazon.com/dp/B009KXE4VO"">Optical Quantum OQBDR06LT-50 6X 25 GB BD-R Single Layer Blu-Ray Recordable Blank Media Logo Top, 50-Disc Spindle</a>",,,,
$0.02 ,$24.00 ,$288 ,12 TB,3 years,"External 3.5""",HDD,Used,"SanDisk Professional 12TB G-Drive Enterprise-Class External Desktop Hard Drive - 7200RPM Ultrastar HDD Inside, USB-C (10Gbps), USB 3.2 Gen 2, Mac Ready - SDPHF1A-012T-NBAAD","<a href=""https://www.amazon.com/dp/B0BB8TPT2W"">SanDisk Professional 12TB G-Drive Enterprise-Class External Desktop Hard Drive - 7200RPM Ultrastar HDD Inside, USB-C (10Gbps), USB 3.2 Gen 2, Mac Ready - SDPHF1A-012T-NBAAD</a>","<a href=""https://www.amazon.com/dp/B0BB8TPT2W"">SanDisk Professional 12TB G-Drive Enterprise-Class External Desktop Hard Drive - 7200RPM Ultrastar HDD Inside, USB-C (10Gbps), USB 3.2 Gen 2, Mac Ready - SDPHF1A-012T-NBAAD</a>",,,
$0.02 ,$24.00 ,$240 ,10 TB,5 years,"Internal 3.5""",HDD,New,"Western Digital 10TB WD Purple Pro Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD101PURP","<a href=""https://www.amazon.com/dp/B0966TZJGJ"">Western Digital 10TB WD Purple Pro Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD101PURP</a>","<a href=""https://www.amazon.com/dp/B0966TZJGJ"">Western Digital 10TB WD Purple Pro Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD101PURP</a>",,,
$0.02 ,$24.00 ,$24 ,1 TB,,"Internal 3.5""",HDD,Used,Seagate HDD ST1000NM0033 1TB SATA 6Gb s Enterprise Storage 7200RPM 128MB Cache Bare Drive,"<a href=""https://www.amazon.com/dp/B00BVW6MEO"">Seagate HDD ST1000NM0033 1TB SATA 6Gb s Enterprise Storage 7200RPM 128MB Cache Bare Drive</a>","<a href=""https://www.amazon.com/dp/B00BVW6MEO"">Seagate HDD ST1000NM0033 1TB SATA 6Gb s Enterprise Storage 7200RPM 128MB Cache Bare Drive</a>",,,
$0.02 ,$24.00 ,$120 ,5 TB,2 years,"Internal 2.5""",HDD,New,Seagate BarraCuda 5TB Internal Hard Drive HDD – 2.5 Inch SATA 6Gb/s 5400 RPM 128MB Cache for Computer Desktop PC (ST5000LM000),"<a href=""https://www.amazon.com/dp/B01M0AADIX"">Seagate BarraCuda 5TB Internal Hard Drive HDD – 2.5 Inch SATA 6Gb/s 5400 RPM 128MB Cache for Computer Desktop PC (ST5000LM000)</a>","<a href=""https://www.amazon.com/dp/B01M0AADIX"">Seagate BarraCuda 5TB Internal Hard Drive HDD – 2.5 Inch SATA 6Gb/s 5400 RPM 128MB Cache for Computer Desktop PC (ST5000LM000)</a>",,,
$0.02 ,$24.05 ,$289 ,12 TB,5 years,Internal,SAS,New,Enterprise C EXOS X18 12TB 3.5IN 7200RPM SAS Helium 512E,"<a href=""https://www.amazon.com/dp/B09C4943ZX"">Enterprise C EXOS X18 12TB 3.5IN 7200RPM SAS Helium 512E</a>","<a href=""https://www.amazon.com/dp/B09C4943ZX"">Enterprise C EXOS X18 12TB 3.5IN 7200RPM SAS Helium 512E</a>",,,
$0.02 ,$24.07 ,$193 ,8 TB,,Internal,SAS,New,HGST Ultrastar DC HC320 HUS728T8TAL5204 8 TB 3.5 Internal Hard Drive - SAS,"<a href=""https://www.amazon.com/dp/B07W4SL9C6"">HGST Ultrastar DC HC320 HUS728T8TAL5204 8 TB 3.5 Internal Hard Drive - SAS</a>","<a href=""https://www.amazon.com/dp/B07W4SL9C6"">HGST Ultrastar DC HC320 HUS728T8TAL5204 8 TB 3.5 Internal Hard Drive - SAS</a>",,,
$0.02 ,$24.12 ,$289 ,12 TB,5 years,Internal,SAS,Used,Enterprise C EXOS X18 12TB 3.5IN 7200RPM SAS Helium 512E,"<a href=""https://www.amazon.com/dp/B09C4943ZX"">Enterprise C EXOS X18 12TB 3.5IN 7200RPM SAS Helium 512E</a>","<a href=""https://www.amazon.com/dp/B09C4943ZX"">Enterprise C EXOS X18 12TB 3.5IN 7200RPM SAS Helium 512E</a>",,,
